"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num County total","num County rptg","over votes","under votes"
126,"State Representative, 47th Representative District","Rick W. RAND","DEM",11216,60.53,69054,44024,4,4,0,0
127,"State Representative, 48th Representative District","Bob M. DeWEESE","REP",18455,58.41,526076,32881,1,1,0,0
128,"State Representative, 48th Representative District","Susan JOHNS","DEM",13143,41.59,526076,32881,1,1,0,0
129,"State Representative, 49th Representative District","Russell WEBBER","REP",11329,52.81,53128,32032,1,1,0,0
130,"State Representative, 49th Representative District","Linda Howlett BELCHER","DEM",10124,47.19,53128,32032,1,1,0,0
131,"State Representative, 50th Representative District","David FLOYD","REP",11379,53.43,96219,59200,3,3,0,0
132,"State Representative, 50th Representative District","Dick HEATON","DEM",9919,46.57,96219,59200,3,3,0,0
133,"State Representative, 51st Representative District","John "Bam" CARNEY","REP",14876,100.00,30238,18808,2,2,0,0
134,"State Representative, 52nd Representative District","Sara Beth GREGORY","REP",11993,100.00,69397,39355,3,3,0,0
135,"State Representative, 53rd Representative District","Bart ROWLAND","REP",10688,69.02,29555,16898,4,4,0,0
136,"State Representative, 53rd Representative District","Thomas DODSON","DEM",4797,30.98,29555,16898,4,4,0,0
137,"State Representative, 54th Representative District","Mike HARMON","REP",9482,54.83,28441,17752,2,2,0,0
138,"State Representative, 54th Representative District","Barry M. HARMON","DEM",7811,45.17,28441,17752,2,2,0,0
139,"State Representative, 55th Representative District","Kim KING","REP",12931,61.13,45491,28978,3,3,0,0
140,"State Representative, 55th Representative District","Kent STEVENS","DEM",8223,38.87,45491,28978,3,3,0,0
141,"State Representative, 56th Representative District","Douglass JONES","REP",9522,46.74,249015,164500,3,3,0,0
142,"State Representative, 56th Representative District","Carl P. ROLLINS II.","DEM",10851,53.26,249015,164500,3,3,0,0
143,"State Representative, 57th Representative District","Don STOSBERG","REP",6571,36.08,34329,23636,1,1,0,0
144,"State Representative, 57th Representative District","Derrick W. GRAHAM","DEM",11639,63.92,34329,23636,1,1,0,0
145,"State Representative, 58th Representative District","Brad MONTELL","REP",19491,100.00,40791,27311,2,2,0,0
146,"State Representative, 59th Representative District","David W. OSBORNE","REP",20623,100.00,569790,32759,2,2,0,0
147,"State Representative, 60th Representative District","Sal SANTORO","REP",21798,100.00,87325,52776,1,1,0,0
148,"State Representative, 61st Representative District","Brian E. LINDER","REP",9387,58.74,29806,16515,3,3,0,0
149,"State Representative, 61st Representative District","Wanda Crupper HAMMONS","DEM",6593,41.26,29806,16515,3,3,0,0
150,"State Representative, 62nd Representative District","Ryan F. QUARLES","REP",12408,54.03,229187,149219,2,2,0,0
151,"State Representative, 62nd Representative District","Charlie HOFFMAN","DEM",10557,45.97,229187,149219,2,2,0,0
152,"State Representative, 63rd Representative District","Diane ST. ONGE","REP",16812,100.00,115201,68113,1,1,0,0
153,"State Representative, 64th Representative District","Thomas Robert KERR","REP",16294,100.00,115201,68113,1,1,0,0
154,"State Representative, 65th Representative District","Arnold R. SIMPSON","DEM",8293,100.00,115201,68113,1,1,0,0
155,"State Representative, 66th Representative District","Addia Kathryn WUCHNER","REP",17272,100.00,87325,52776,1,1,0,0
156,"State Representative, 67th Representative District","Adam HAAS","REP",5198,40.09,63615,40434,1,1,0,0
157,"State Representative, 67th Representative District","Dennis KEENE","DEM",7768,59.91,63615,40434,1,1,0,0
158,"State Representative, 68th Representative District","Joseph M. FISCHER","REP",16795,100.00,63615,40434,1,1,0,0
159,"State Representative, 69th Representative District","Adam KOENIG","REP",13337,100.00,266141,161323,3,3,0,0
160,"State Representative, 70th Representative District","Mitchel B. DENHAM JR.","DEM",12301,100.00,28813,16204,3,3,0,0
161,"State Representative, 71st Representative District","John Will STACY","DEM",10737,100.00,33172,17673,4,4,0,0
162,"State Representative, 72nd Representative District","Sannie OVERLY","DEM",11615,100.00,223967,143462,4,4,0,0
163,"State Representative, 73rd Representative District","Donna MAYFIELD","REP",10638,55.44,82332,49216,2,2,0,0
164,"State Representative, 73rd Representative District","JoEllen REED","DEM",8552,44.56,82332,49216,2,2,0,0
165,"State Representative, 74th Representative District","Richard HENDERSON","DEM",11562,100.00,33918,17238,3,3,0,0
166,"State Representative, 75th Representative District","Kelly FLOOD","DEM",9870,100.00,196339,128406,1,1,0,0
167,"State Representative, 76th Representative District","Richard MARRS","REP",8636,45.39,196339,128406,1,1,0,0
168,"State Representative, 76th Representative District","Ruth Ann PALUMBO","DEM",10392,54.61,196339,128406,1,1,0,0
169,"State Representative, 77th Representative District","Jesse CRENSHAW","DEM",12822,100.00,196339,128406,1,1,0,0
170,"State Representative, 78th Representative District","Bryan LUTZ","REP",7087,44.29,88181,54393,4,4,0,0
171,"State Representative, 78th Representative District","Thomas M. McKEE","DEM",8913,55.71,88181,54393,4,4,0,0
172,"State Representative, 79th Representative District","Chris LOGAN","REP",7293,44.79,196339,128406,1,1,0,0
173,"State Representative, 79th Representative District","Susan WESTROM","DEM",8988,55.21,196339,128406,1,1,0,0
174,"State Representative, 80th Representative District","David MEADE","REP",12462,100.00,73425,41451,3,3,0,0
175,"State Representative, 81st Representative District","Mary R. McGill LONG","REP",6443,38.57,56426,33631,1,1,0,0
176,"State Representative, 81st Representative District","Rita H. SMART","DEM",10263,61.43,56426,33631,1,1,0,0
177,"State Representative, 82nd Representative District","Regina Petrey BUNCH","REP",12942,100.00,68583,35917,2,2,0,489
178,"State Representative, 83rd Representative District","Jeff HOOVER","REP",15977,100.00,65106,38200,3,3,0,0
179,"State Representative, 84th Representative District","Fitz STEELE","DEM",10148,100.00,40596,21519,2,2,0,0
180,"State Representative, 85th Representative District","Tommy TURNER","REP",15792,100.00,86827,48969,2,2,0,1241
181,"State Representative, 86th Representative District","Jim STEWART","REP",12079,100.00,64974,33925,2,2,0,0
182,"State Representative, 87th Representative District","Joshua D. HOWARD","REP",3875,30.43,39853,20539,2,2,0,0
183,"State Representative, 87th Representative District","Rick NELSON","DEM",8860,69.57,39853,20539,2,2,0,0
184,"State Representative, 88th Representative District","Robert J. BENVENUTI III.","REP",12959,53.97,196339,128406,1,1,0,0
185,"State Representative, 88th Representative District","Reginald THOMAS","DEM",11054,46.03,196339,128406,1,1,0,0
186,"State Representative, 89th Representative District","Marie L. RADER","REP",13372,100.00,55399,29516,3,3,0,0
187,"State Representative, 90th Representative District","Tim COUCH","REP",11239,100.00,43485,23663,3,3,0,0
188,"State Representative, 91st Representative District","Gary Wayne HERALD","REP",6332,50.53,26885,13328,3,3,0,0
189,"State Representative, 91st Representative District","Ted "Teddy" EDMONDS","DEM",6198,49.47,26885,13328,3,3,0,0
190,"State Representative, 92nd Representative District","John W. SHORT","DEM",9807,100.00,37992,19473,3,3,0,0
191,"State Representative, 93rd Representative District","W. Keith HALL","DEM",10320,100.00,47020,24207,1,1,1,1
192,"State Representative, 94th Representative District","Leslie A. COMBS","DEM",11470,100.00,83311,43747,3,3,0,0
193,"State Representative, 95th Representative District","Gregory D. STUMBO","DEM",10746,100.00,29989,15265,1,1,0,0
194,"State Representative, 96th Representative District","Jill YORK","REP",10024,100.00,28700,14259,2,2,0,0
195,"State Representative, 97th Representative District","Bobby Wayne McCOOL","REP",5763,40.97,102203,52588,4,4,0,0
196,"State Representative, 97th Representative District","Hubert COLLINS","DEM",8305,59.03,102203,52588,4,4,0,0
197,"State Representative, 98th Representative District","Tanya PULLIN","DEM",12283,100.00,64206,34814,2,2,0,0
198,"State Representative, 99th Representative District","Rocky ADKINS","DEM",11178,100.00,66737,35376,4,4,0,0
199,"State Representative, 100th Representative District","Kevin P. SINNETTE","DEM",11097,100.00,36498,19399,1,1,0,0
200,"Commonwealth's Attorney, 1st Judicial Circuit","Michael B. STACY","DEM",8477,100.00,18765,11272,4,4,0,0
201,"Commonwealth's Attorney, 5th Judicial Circuit","Zac GREENWELL","DEM",11590,100.00,25682,15451,3,3,0,0
202,"Commonwealth's Attorney, 7th Judicial Circuit","J. Gail GUILING","DEM",11172,100.00,24944,15371,2,2,0,0
203,"Commonwealth's Attorney, 10th Judicial Circuit","Terry L. GEOGHEGAN","DEM",20818,100.00,53055,31127,3,3,0,0
204,"Commonwealth's Attorney, 11th Judicial Circuit","Shelly Sprague MILLER","DEM",17767,100.00,46907,28690,4,4,0,0
205,"Commonwealth's Attorney, 12th Judicial Circuit","Courtney Tigue BAXTER","REP",25559,67.44,61583,40290,3,3,0,0
206,"Commonwealth's Attorney, 12th Judicial Circuit","William A. CARTER","DEM",12340,32.56,61583,40290,3,3,0,0
207,"Commonwealth's Attorney, 13th Judicial Circuit","Thomas L. LOCKRIDGE","DEM",17284,100.00,45514,27928,2,2,0,0
208,"Commonwealth's Attorney, 14th Judicial Circuit","Gordon "Gordie" SHAW","DEM",27293,100.00,64691,41303,3,3,0,0
209,"Commonwealth's Attorney, 15th Judicial Circuit","James M. CRAWFORD","DEM",11792,100.00,31347,17140,3,3,0,0
210,"Commonwealth's Attorney, 18th Judicial Circuit","Douglas MILLER","DEM",11668,100.00,29950,16644,4,4,0,0
211,"Commonwealth's Attorney, 19th Judicial Circuit","J. Kelly CLARKE","DEM",11266,100.00,28813,16204,3,3,0,0
212,"Commonwealth's Attorney, 20th Judicial Circuit","Melvin C. LEONHART","DEM",13149,100.00,37534,20379,2,2,0,0
213,"Commonwealth's Attorney, 21st Judicial Circuit","Ronnie GOLDY JR.","DEM",17092,100.00,46450,25140,4,4,0,0
214,"Commonwealth's Attorney, 23rd Judicial Circuit","Heather Buntin COMBS","REP",5752,100.00,15542,8113,2,2,0,0
215,"Commonwealth's Attorney, 24th Judicial Circuit","Anna Deskins MELVIN","REP",13583,100.00,36920,18852,3,3,0,2385
216,"Commonwealth's Attorney, 25th Judicial Circuit","David W. SMITH","DEM",31789,100.00,82332,49216,2,2,0,0
217,"Commonwealth's Attorney, 27th Judicial Circuit","Jackie L. STEELE Jr.","REP",25752,100.00,64974,33925,2,2,0,0
218,"Commonwealth's Attorney, 28th Judicial Circuit","Eddy F. MONTGOMERY","REP",32791,100.00,73425,41451,3,3,0,0
219,"Commonwealth's Attorney, 29th Judicial Circuit","Gail WILLIAMS","REP",9892,100.00,23477,13898,2,2,0,0
220,"Commonwealth's Attorney, 34th Judicial Circuit","Allen C. TRIMBLE","REP",14762,100.00,37113,18983,2,2,0,0
221,"Commonwealth's Attorney, 36th Judicial Circuit","C. Graham MARTIN","DEM",6856,100.00,21801,10955,2,2,0,0
222,"Commonwealth's Attorney, 37th Judicial Circuit","D. Brandon ISON","DEM",11126,100.00,32806,16394,3,3,0,0
223,"Commonwealth's Attorney, 38th Judicial Circuit","Timothy R. COLEMAN","REP",17267,100.00,40505,23794,4,4,0,0
224,"Commonwealth's Attorney, 39th Judicial Circuit","Darrell A. HERALD","DEM",8080,100.00,26236,12094,3,3,0,0
225,"Commonwealth's Attorney, 40th Judicial Circuit","Jesse M. STOCKTON JR.","REP",8697,100.00,21059,11659,3,3,0,0
226,"Commonwealth's Attorney, 41st Judicial Circuit","Gary H. GREGORY","REP",13395,100.00,32882,17791,3,3,0,0
227,"Commonwealth's Attorney, 42nd Judicial Circuit","C. Mark BLANKENSHIP","DEM",21983,100.00,49920,31037,2,2,0,0
228,"Commonwealth's Attorney, 43rd Judicial Circuit","John Bishop GARDNER","DEM",13740,100.00,35852,21067,2,2,0,0
229,"Commonwealth's Attorney, 45th Judicial Circuit","Ralph D. VICK","DEM",12695,100.00,28877,17169,2,2,0,0
230,"Commonwealth's Attorney, 46th Judicial Circuit","David M. WILLIAMS","REP",20095,100.00,50958,28568,3,3,0,0
231,"Commonwealth's Attorney, 49th Judicial Circuit","Clint Grainger WILLIS","DEM",9495,100.00,25581,14298,2,2,0,0
232,"Commonwealth's Attorney, 50th Judicial Circuit","Richard "Richie" BOTTOMS","DEM",15516,100.00,36594,22485,2,2,0,0
233,"Commonwealth's Attorney, 53rd Judicial Circuit","Laura DONNELL","REP",27538,100.00,57227,37746,3,3,0,0
234,"Commonwealth's Attorney, 54th Judicial Circuit","Linda Tally SMITH","REP",43243,100.00,93255,55885,2,2,0,0
235,"Commonwealth's Attorney, 56th Judicial Circuit","G.L. OVEY","DEM",14943,100.00,33963,21169,4,4,0,0
236,"Commonwealth's Attorney, 57th Judicial Circuit","Matthew LEVERIDGE","REP",9591,65.91,27266,15334,2,2,0,0
237,"Commonwealth's Attorney, 57th Judicial Circuit","David Fayette SMITH","DEM",4961,34.09,27266,15334,2,2,0,0
238,"Justice of the Supreme Court, 7th Supreme Court District","Janet L. STUMBO","",62581,41.86,356964,185048,22,22,0,0
239,"Justice of the Supreme Court, 7th Supreme Court District","Will T. SCOTT","",86928,58.14,356964,185048,22,22,0,0
240,"Judge of the Court of Appeals, 4th Appellate District, 1st Division, Unexpired term","Irv MAZE","",135385,50.79,526076,340993,1,1,0,0
241,"Judge of the Court of Appeals, 4th Appellate District, 1st Division, Unexpired term","James M. SHAKE","",131198,49.21,526076,340993,1,1,0,0
242,"Circuit Judge, 27th Judicial Circuit, 2nd Division, Unexpired term","Tom JENSEN","",21930,100.00,64974,33925,2,2,0,0
243,"Circuit Judge, 29th Judicial Circuit, Unexpired term","Brian WRIGHT","",5803,46.57,23477,13898,2,2,0,0
244,"Circuit Judge, 29th Judicial Circuit, Unexpired term","Judy D. VANCE","",6657,53.43,23477,13898,2,2,0,0
245,"Circuit Judge, 30th Judicial Circuit, 10th Division, Unexpired term","Wanda Mitchell BAKER","",73338,28.14,526076,340993,1,1,0,0
246,"Circuit Judge, 30th Judicial Circuit, 10th Division, Unexpired term","Eric L. ISON","",48622,18.66,526076,340993,1,1,0,0
247,"Circuit Judge, 30th Judicial Circuit, 10th Division, Unexpired term","Angela BISIG","",138616,53.20,526076,340993,1,1,0,0
248,"District Judge, 31st Judicial District, 1st Division, Unexpired term","Jimmy "Blue" MARCUM","",10240,100.00,29989,15265,1,1,0,0
249,"District Judge, 57th Judicial District, Unexpired term","John S. "Jack" KELLEY V.","",6625,41.23,30531,18648,1,1,0,0
250,"District Judge, 57th Judicial District, Unexpired term","Arch C. "Chip" McKAY III.","",5903,36.74,30531,18648,1,1,0,0
251,"District Judge, 57th Judicial District, Unexpired term","Thomas C. DAWSON","",3539,22.03,30531,18648,1,1,0,0
252,"Constitutional Amendment","YES","",1298335,84.49,3037153,1815722,120,120,0,0
253,"Constitutional Amendment","NO","",238320,15.51,3037153,1815722,120,120,0,0
